file,country,region,city,name,alternate_names
"Lincoln_Memorial_(May_2014)_crop.jpg",United States,National Mall,"Washington, D.C.",Lincoln Memorial,
"Machu_Picchu,_2023_(012).jpg",Peru,Urubamba,Cusco,Machu Picchu,
"Mezquita_de_Córdoba_desde_el_aire_(Córdoba,_España).jpg",Spain,Andalusia,Córdoba,Mosque–Cathedral of Córdoba,Mezquita-Catedral de Córdoba;Cathedral of Our Lady of the Assumption;Catedral de Nuestra Señora de la Asunción
"Moscow_Kremlin_(8281675670).jpg",Russia,,Moscow,Kremlin,Moscow Kremlin;kreml';Red Square
"Mysore_Palace_Morning.jpg",India,Karnataka,Mysore,Mysore Palace,Amba Vilas Palace;City of Palaces
"Pałac_na_wyspie,_Łazienki_Królewskie,_Warszawa_2021.jpg",Poland,,Warsaw,Palace on the Isle,Pałac Łazienkowski;Baths Palace;Pałac Na Wyspie;Łazienki Palace
"Palacio_Real_de_Madrid_Julio_2016_(cropped).jpg",Spain,,Madrid,Royal Palace of Madrid,Palacio Real de Madrid
"Peterhof_Palace,_Saint_Petersburg,_Russia_(44408938295).jpg",Russia,Saint Petersburg,Petergof,Peterhof Palace,Петерго́ф;Petergóf;Peter's Court;Peterhof
"pyramid.png",Egypt,Saqqara,Memphis,Pyramid of Djoser,Step Pyramid of Djoser;Step Pyramid of Horus Netjerikhet;Saqqara Necropolis
"Pyramids_of_the_Giza_Necropolis.jpg",Egypt,Western Desert,Giza,Giza pyramid complex,Giza necropolis;Great pyramid;Pyramid of Khafre;Pyramid of Menkaure;Great Sphinx
"Royal_Castle_in_Warsaw,_Poland,_2022,_03.jpg",Poland,Castle Square",Warsaw,Royal Castle,Royal Castle in Warsaw;
"Saint_Peter's_Basilica_facade,_Rome,_Italy.jpg",Italy,Rome,Vatican City,St. Peter's Basilica,Papal Basilica of Saint Peter;Basilica di San Pietro;Basilica Sancti Petri
"Schloss_Neuschwanstein_2013.jpg",Germany,Bavaria,Schwangau,Neuschwanstein Castle,Schloss Neuschwanstein;Schloss Neischwanstoa
"Sevilla-2-2_(48040287512).jpg",Spain,,Seville,Alcázar of Seville,Royal Alcázar of Seville;Real Alcázar de Sevilla;Reales Alcázares de Sevilla
"Taj_Mahal_(Edited).jpeg",India,Utar Pradesh,Agra,Taj Mahal,Crown of the Palace
"The_Great_Wall_of_China_at_Jinshanling-edit.jpg",China,,,Great Wall,Great Wall of China;Wànlǐ Chángchéng
"The_Parthenon_in_Athens.jpg",Greece,Acropolis of Athens,Athens,Parthenon,Parthenōn
"Theathres_of_Pompeii.jpg",Italy,Naples,Pompei,Pompeii,Pompeii Ruins
"Tower_of_London_from_the_Shard_(8515883950).jpg",United Kingdom,England,London,Tower of London,His Majesty's Royal Palace;Fortress of the Tower of London
"Treasury_petra_crop.jpeg",Jordan,Southern Jordan,,Petra,Raqmu;Al-Batrā;Rose City
"trevi.png",Italy,,Rome,Trevi Fountain,Fontana di Trevi
"Tulum_2.jpg",Mexico,Yucatán,Quintana Roo,Tulum,Tulu'um;Temple of the God of Wind;Castillo
"Vietnam_Veterans_Memorial_reflection_in_low_light.jpg",United States,Washington D.C.,"Washington, D.C.",Vietnam Veterans Memorial,Vietnam Memorial;Memorial Wall
"Wawel_(4).jpg",Poland,Vistula River,Kraków,Wawel Castle,Wawel Royal Castle;Zamek Królewski na Wawelu;Wawel Hill
"Wien_-_Schloss_Schönbrunn.JPG",Austria,Hietzing,Vienna,Schönbrunn Palace,Schloss Schönbrunn
"Σαγράδα_Φαμίλια_2941_(cropped).jpg",Spain,Catalonia,Barcelona,Sagrada Família,Basílica i Temple Expiatori de la Sagrada Família
"Versailles-Chateau-Jardins02.jpg",France,Île-de-France,Versailles,Palace of Versailles,château de Versailles
"Christ_the_Redeemer_-_Cristo_Redentor.jpg",Brazil,Rio de Janeiro,Rio de Janeiro,Christ the Redeemer,Cristo Redentor
